,actual_productivity_score
0,7.291555269465855
1,5.165092998005627
2,3.474053165692065
5,4.081025618987782
6,5.976408248839262
8,3.004240077935848
10,7.98325212177318
12,7.715133470742169
13,7.930675032954072
14,6.773922720050245
15,2.8611708867422974
16,6.629586652811088
17,2.062080419419904
18,7.428870814844699
19,5.957136871135499
21,8.119665072027631
22,2.974136908027594
23,6.073044145143145
24,1.4384179630413625
25,7.209460411624187
27,5.672382929888017
28,4.767331765932079
29,2.4169086798591684
30,2.1234512855387324
31,3.618640575481865
34,6.964985503391575
35,4.515495403857237
37,3.876732391030856
42,2.973938095503063
43,7.934279341892775
44,6.834059711891591
45,2.71189759793165
46,7.054453195563564
47,1.6426768813837649
48,7.597030634880036
49,7.586339465237845
51,2.742944820142082
53,7.361611655183045
54,5.420393108308598
55,3.406939530294707
56,3.24404848837352
57,4.276708433373928
60,6.972137571347723
62,5.394193720837338
63,6.812805739051938
65,2.103487892293927
66,2.1834922893696644
67,5.537632261717748
68,6.775056842279851
69,5.894081942530983
70,2.7804952114540087
71,4.404630626520092
72,2.147642971250322
73,5.265213585518072
74,2.4559526750213063
75,4.266142698063823
77,4.500942214332079
79,5.16836270178341
80,7.106348642036497
81,2.316293517184117
82,4.9028079624519325
84,2.696861820902828
85,1.9953029952840236
86,6.834171256486446
87,6.995379402566985
89,2.2179226082039274
90,6.277155788748882
92,6.124940735169287
93,5.155044430513718
94,1.7136440363378105
95,3.02574659952432
96,6.3175790512314425
97,4.311624677648936
99,7.788354312772887
100,7.0353446953266525
103,1.8113615928269036
104,5.392778979011339
105,2.317278267987648
106,3.244120092715695
108,5.489248919643183
109,4.34035022064587
112,6.427089553296021
113,6.891604252914472
114,3.727271669967761
116,2.479970967826328
117,2.7150202466497166
118,6.341939163855419
119,5.35569428761732
120,3.359993157175228
121,5.592926082289852
122,2.0031797270187366
123,5.224774967476676
124,3.54877172191759
126,5.606499656129134
127,7.626863106052769
128,5.76320918569452
129,6.431692411502361
130,5.814330364370934
131,2.983186285252444
133,2.18993872349982
135,7.678578536808284
136,2.231709442671316
137,5.499692893555577
139,6.441898637271189
140,2.5933450465124173
142,6.91541957133127
143,3.504030600267476
144,3.885212145957927
145,1.298762392110877
146,5.318996524843325
147,3.773079503724933
149,6.614332930228851
150,6.637370941099733
151,1.7732305156660373
152,6.947773218754172
154,2.8277103250128057
155,7.241639317064507
156,4.554474306797895
157,7.981831153533868
159,5.71309728396396
162,7.491101513558188
163,3.353629747341785
165,2.276031626533728
166,5.887914588494332
167,6.220048818893625
168,3.647629367967121
169,4.00467568142979
170,7.671969943771327
171,3.073948873116637
172,1.5255962551377995
173,1.798956744164028
174,4.554340199432645
175,8.383240647269881
177,6.029656203074252
179,2.432717007322083
180,5.004891218841023
181,5.00655685664458
182,2.856010350844985
187,1.213163640676853
188,3.2883135761292785
189,5.432656123475763
190,3.2332807495322826
191,4.087087443060042
192,6.788185326467752
194,2.6624087373747334
195,5.375012121463882
196,5.941835625380774
197,6.423952185387253
198,3.134277685815323
200,5.120910126646928
201,3.038042149674824
202,5.737591671495813
203,4.087904954922798
204,4.315259341301572
205,5.20452541459246
206,4.659210165069279
208,5.710341884635592
209,4.017322622740602
210,7.348635521112896
211,4.704728988648429
212,3.04009227251662
214,6.902790809859607
216,1.887339116245146
218,3.2174837491765707
221,6.057960705101685
222,4.461589899137782
223,2.0294297896369367
224,5.440949823332004
225,7.600986703777708
226,6.0822970212872285
227,3.33739942878056
230,5.092162860354753
232,7.697385945362966
235,3.99851962557351
236,2.143318240010688
237,4.280098724877111
238,5.206614600901037
239,7.518832184749117
241,5.34505845975603
242,4.605836369732187
243,3.5844737736593686
245,8.175022262609113
246,5.9640575980535
247,6.02982781290815
248,7.542209943250227
249,1.795105905187706
251,6.015480314016149
252,2.8386701065207927
255,7.310026707240588
256,6.535429968695138
257,8.582437285777685
258,5.222186966629213
259,7.131004352998196
260,2.458311954185937
261,1.1767451825857247
262,3.21414795778651
264,8.348292497138713
265,4.655430115649208
266,7.552740064654301
268,4.334687606206328
269,5.803861026949531
270,5.176524825300128
272,3.8052027275316576
273,2.270599931373749
275,6.41246016394818
276,2.5981206051975767
277,2.7558935607525434
278,2.312026115849418
279,8.088138330482133
280,3.258361475674614
281,4.543091508466661
282,4.898590852454291
284,6.38761741053334
286,5.347839120065972
287,6.68149409761196
288,4.711650769390381
289,7.852391225275483
290,6.54297665826919
291,3.216516183625847
292,4.829346103315134
293,2.276546744930123
295,2.902731788628317
296,3.901922639228534
297,4.262794273252994
300,3.816220849199421
301,4.964549151432872
303,1.97046695729304
305,4.569747935351655
308,5.800855228052171
309,4.967459323627194
311,6.887051423507164
312,7.525553509724146
313,6.5387608292565575
314,0.9516999325635188
315,6.717629143799451
316,4.421217125670845
317,7.661704049496662
319,4.89485798476622
320,4.158020711892145
321,6.518436396143459
322,3.385851879443409
323,5.414578816294929
324,8.302697881500439
325,7.911804863768074
326,3.3573680142751616
327,3.863591529025729
328,1.2770772065502831
329,7.587669517707851
331,8.27105670069922
332,6.367940307179095
333,6.273924735917271
334,4.484734382266306
335,5.772735709535212
336,2.363127156062524
337,3.954917108058388
338,7.373321660965952
343,6.051097723900197
347,6.609513880101865
348,5.654211403587379
349,4.698962306289549
350,6.282764701914194
351,3.5160715488129464
354,5.943254854659963
355,6.312313976035182
357,4.824600146657362
358,7.394825284592924
360,4.561453065915309
361,5.737302137027269
362,3.408082624997568
363,6.359137090975831
364,6.871095431154063
365,7.023274435182717
366,8.3489386836904
367,5.115100260756101
368,7.736740131685721
369,5.2216943451924624
370,4.985562651929928
371,4.556583562089035
373,4.477801353734296
374,7.835114477897351
375,4.2090278554964105
378,2.9830806180158507
379,3.1842378399705367
381,4.838593935048255
383,6.51836229583405
384,2.6186434864004475
385,4.172657023146216
386,7.653099003355551
389,5.513791620250912
390,1.6754218909064638
391,5.504960655389332
392,6.747985126264442
393,4.505533960927939
394,6.734356947218065
395,6.116051620438205
396,6.485919698444536
397,7.251922648058866
398,7.766719580971502
399,7.224059942641121
401,6.274691814306752
404,3.817727023737027
405,3.95450536492914
406,4.858744935182691
408,6.479435148328451
409,5.745005180246498
410,4.787810088053073
411,7.063291082605553
412,3.250533805905373
413,4.305147055484739
416,7.044412655065981
419,4.642567431378981
421,5.922873930270685
422,5.858001851855065
423,1.8141292304956125
424,4.429500133789639
425,2.3355441031415287
426,5.995386751903302
427,1.877741663347748
429,5.751745123457576
430,4.6565762508701765
431,6.395744689174116
434,2.2468068431713397
435,7.063446335154696
436,3.8903681741094887
438,6.283104525647766
439,2.489809564524106
440,4.777187550793856
441,3.302487161786783
442,7.107520680987331
443,7.51329645618905
446,7.033885037045431
447,4.0903752021812565
448,7.010753913701052
449,1.7296769030064647
450,6.329042964445807
451,5.709246094571235
453,1.3884587225850122
454,2.475077048229655
455,3.590933946625722
456,7.907802009751495
457,8.480183422115203
458,5.475950039225879
460,3.080629404458084
461,3.421939389043932
462,7.176521066624971
463,7.569039916213221
466,2.830701967097737
470,3.989096097359452
471,4.180977384484615
472,6.069642573840102
473,4.037335121488835
474,4.87742033716275
475,5.548338400527637
477,5.573717176871568
478,2.9867148515495723
479,3.827657010085339
480,7.163313355983367
481,6.401447188987797
482,4.045704796951899
483,1.859425188058665
484,7.825261859611226
486,8.346519560509108
487,3.25018693549706
491,7.16983889137125
492,5.940064544435914
493,3.074653908561673
494,5.292840534235329
495,5.950471539272352
498,5.050731954783808
500,4.619211791505357
502,6.693563629012881
504,5.455552809311743
505,4.110444251871271
506,3.811805446045544
508,9.029942289465565
509,6.033286488940406
511,7.962688828940904
513,3.314257747186589
514,4.41807901515031
515,3.5777916492923136
518,4.26135670586988
520,1.223064342450526
522,7.125598831063793
524,2.84544786115349
527,6.688577649192246
528,7.494765005943337
530,8.132617497011966
532,5.846666577796623
533,3.519451630293552
534,1.9135524229993943
536,6.582481611395532
537,4.196795998482337
538,7.921852386277902
539,3.370740610439742
540,6.718580387398848
542,4.71918036788272
543,8.28038665803307
544,7.01458048304878
545,7.712327735119212
547,7.303147258962944
549,5.6320425865759445
551,4.691117671465742
552,5.22542669408939
553,7.518767077442321
554,8.60748334144502
555,2.4890697827882104
556,3.927282468745752
558,5.304458677365546
559,3.270974141573331
560,6.2456583185171946
563,7.437080090020833
564,5.548775252756007
565,2.8288777992724734
567,3.996032750485744
568,4.316680345791919
569,2.2650214198792136
570,7.680780507092448
571,2.5881921499006064
572,5.957945752485145
573,3.312501055969114
574,4.7930638261861445
575,3.295567583448715
576,4.281468727742804
577,6.353710817902327
579,4.551258594949176
580,6.63207352224707
581,4.248835342913993
582,6.534370859355778
584,5.179531726013467
586,5.748983427094616
588,4.415379472683897
589,7.452578539648094
590,5.530268158970737
591,3.34905276211308
592,6.917344188234915
593,2.6711045925568824
594,6.781973371056864
597,5.389299374296571
598,2.9068970163510666
600,4.378509980045085
601,3.6568736177693673
602,4.401600261870763
603,4.793388275507579
604,5.7425066454228215
605,2.382675716242631
606,2.3674673678920657
607,4.768718710753576
608,7.929357526722044
609,3.0919861878519206
610,3.868152553547916
611,5.109832913614583
613,4.827277372247552
614,3.4402517749380994
615,2.4677790419925367
616,6.648283739722826
617,8.602957360226565
618,4.66208351796703
619,4.363656318661768
620,7.681651450491014
621,6.584242399371367
623,8.355449543167591
624,4.423735928736424
625,7.204452801730389
626,3.078941730980045
